Name,Link,Longitude,Latitude,Company,Funder,Incubator/accelerator,University/RTO
3 M United Kingdom Plc,Not given,-0.77816,51.41639,0,0,0,1
AB Agri Ltd,Not given,-1.720641,51.41559,0,0,0,1
AHRC,http://www.ahrc.ac.uk/,-1.784755,51.566728,0,0,0,1
AIRBUS UK,Not given,-2.574165,51.458457,0,0,0,1
AMEC,http://www.amecnnc.com/,-0.975182,51.419422,0,0,0,1
AMEC Nuclear UK Limited,Not given,-2.35146,53.298273,0,0,0,1
ARM Ltd,Not given,0.178933,52.181781,0,0,0,1
AWE,http://www.awe-gmbh.de,-1.150574,51.36503,0,0,0,1
Aberdeen City Council,http://www.aberdeencity.gov.uk,-2.114274,57.16161,0,0,0,1
Accelrys Limited,Not given,0.142398,52.233809,0,0,0,1
Addenbrooke's Hospital NHS Trust,Not given,0.139114,52.173741,0,0,0,1
Advanced Manufacturing Research Centre,http://www.amrc.co.uk/,-1.375864,53.387929,0,0,0,1
Age UK,http://www.ageuk.org.uk/,-0.117214,51.530934,0,0,0,1
Aggregate Industries UK Ltd,Not given,-1.330289,52.712854,0,0,0,1
Agilent Technologies UK Ltd,Not given,-0.884477,51.436725,0,0,0,1
Airbus Defence and Space,Not given,-0.212049,51.901033,0,0,0,1
Airbus Operations Limited,Not given,-2.574165,51.458457,0,0,0,1
Aixtron Ltd,Not given,-0.007985,52.274112,0,0,0,1
AkzoNobel UK,Not given,-1.558064,54.957039,0,0,0,1
Akzonobel,Not given,-0.583605,51.512602,0,0,0,1
Alstom Ltd (UK),Not given,-2.132284,52.603139,0,0,0,1
Altran UK Ltd,Not given,-2.358478,51.378814,0,0,0,1
Amey Plc,Not given,-1.219624,51.713914,0,0,0,1
Anglia Ruskin University,http://www.anglia.ac.uk,0.134596,52.203365,0,0,0,1
Anglian Water Services Limited,Not given,-0.199214,52.34637,0,0,0,1
Areva,Not given,-2.111917,52.802919,0,0,0,1
Arm Limited,Not given,0.178933,52.181781,0,0,0,1
Armagh Observatory,Not given,-6.649812,54.353031,0,0,0,1
